symbol,header,message,date,amount
CPB,Dividend,CPB announced a cash dividend of 0.39 with an ex-date of Apr. 3 2025,2025-04-03,0.39
CPT,Dividend,CPT announced a cash dividend of 1.05 with an ex-date of Mar. 31 2025,2025-03-31,1.05
HST,Dividend,HST announced a cash dividend of 0.20 with an ex-date of Mar. 31 2025,2025-03-31,0.20
WPC,Dividend,WPC announced a cash dividend of 0.89 with an ex-date of Mar. 31 2025,2025-03-31,0.89
ESLT,Dividend,ESLT announced a cash dividend of 0.60 with an ex-date of Apr. 22 2025,2025-04-22,0.60
NVT,Dividend,NVT announced a cash dividend of 0.20 with an ex-date of Apr. 25 2025,2025-04-25,0.20
TFII,Dividend,TFII announced a cash dividend of 0.45 with an ex-date of Mar. 31 2025,2025-03-31,0.45
YMM,Dividend,YMM announced a cash dividend of 0.096 with an ex-date of Apr. 7 2025,2025-04-07,0.096
NLY,Dividend,NLY announced a cash dividend of 0.70 with an ex-date of Mar. 31 2025,2025-03-31,0.70
BEN,Dividend,BEN announced a cash dividend of 0.32 with an ex-date of Mar. 31 2025,2025-03-31,0.32
LECO,Dividend,LECO announced a cash dividend of 0.75 with an ex-date of Mar. 31 2025,2025-03-31,0.75
RRX,Dividend,RRX announced a cash dividend of 0.35 with an ex-date of Mar. 31 2025,2025-03-31,0.35
SNX,Dividend,SNX announced a cash dividend of 0.44 with an ex-date of Apr. 11 2025,2025-04-11,0.44
HTHT,Dividend,HTHT announced a cash dividend of 0.97 with an ex-date of Apr. 9 2025,2025-04-09,0.97
CUBE,Dividend,CUBE announced a cash dividend of 0.52 with an ex-date of Apr. 1 2025,2025-04-01,0.52
DOX,Dividend,DOX announced a cash dividend of 0.527 with an ex-date of Mar. 31 2025,2025-03-31,0.527
FRT,Dividend,FRT announced a cash dividend of 1.10 with an ex-date of Apr. 1 2025,2025-04-01,1.10
AYI,Dividend,AYI announced a cash dividend of 0.17 with an ex-date of Apr. 17 2025,2025-04-17,0.17
GL,Dividend,GL announced a cash dividend of 0.27 with an ex-date of Apr. 3 2025,2025-04-03,0.27
EHC,Dividend,EHC announced a cash dividend of 0.17 with an ex-date of Apr. 1 2025,2025-04-01,0.17
GAP,Dividend,GAP announced a cash dividend of 0.165 with an ex-date of Apr. 9 2025,2025-04-09,0.165
REXR,Dividend,REXR announced a cash dividend of 0.43 with an ex-date of Mar. 31 2025,2025-03-31,0.43
INGR,Dividend,INGR announced a cash dividend of 0.80 with an ex-date of Apr. 1 2025,2025-04-01,0.80
RGLD,Dividend,RGLD announced a cash dividend of 0.45 with an ex-date of Apr. 4 2025,2025-04-04,0.45
NYT,Dividend,NYT announced a cash dividend of 0.18 with an ex-date of Apr. 1 2025,2025-04-01,0.18
APA,Dividend,APA announced a cash dividend of 0.25 with an ex-date of Apr. 22 2025,2025-04-22,0.25
MNSO,Dividend,MNSO announced a cash dividend of 0.327 with an ex-date of Apr. 8 2025,2025-04-08,0.327
AGNC,Dividend,AGNC announced a cash dividend of 0.12 with an ex-date of Mar. 31 2025,2025-03-31,0.12
OGE,Dividend,OGE announced a cash dividend of 0.421 with an ex-date of Apr. 7 2025,2025-04-07,0.421
BRX,Dividend,BRX announced a cash dividend of 0.287 with an ex-date of Apr. 2 2025,2025-04-02,0.287
MTCH,Dividend,MTCH announced a cash dividend of 0.19 with an ex-date of Apr. 3 2025,2025-04-03,0.19
FSV,Dividend,FSV announced a cash dividend of 0.275 with an ex-date of Mar. 31 2025,2025-03-31,0.275
PEGA,Dividend,PEGA announced a cash dividend of 0.03 with an ex-date of Apr. 1 2025,2025-04-01,0.03
TTC,Dividend,TTC announced a cash dividend of 0.38 with an ex-date of Mar. 31 2025,2025-03-31,0.38
EGP,Dividend,EGP announced a cash dividend of 1.40 with an ex-date of Mar. 31 2025,2025-03-31,1.40
CIB,Dividend,CIB announced a cash dividend of 3.812 with an ex-date of Mar. 31 2025,2025-03-31,3.812
OUKPY,Dividend,OUKPY announced a cash dividend of 0.103 with an ex-date of Apr. 28 2025,2025-04-28,0.103
ADC,Dividend,ADC announced a cash dividend of 0.253 with an ex-date of Mar. 31 2025,2025-03-31,0.253
ENSG,Dividend,ENSG announced a cash dividend of 0.062 with an ex-date of Mar. 31 2025,2025-03-31,0.062
AXS,Dividend,AXS announced a cash dividend of 0.44 with an ex-date of Mar. 31 2025,2025-03-31,0.44
DDS,Dividend,DDS announced a cash dividend of 0.25 with an ex-date of Mar. 31 2025,2025-03-31,0.25
ESAB,Dividend,ESAB announced a cash dividend of 0.08 with an ex-date of Apr. 4 2025,2025-04-04,0.08
SSD,Dividend,SSD announced a cash dividend of 0.28 with an ex-date of Apr. 3 2025,2025-04-03,0.28
BXSL,Dividend,BXSL announced a cash dividend of 0.77 with an ex-date of Mar. 31 2025,2025-03-31,0.77
FR,Dividend,FR announced a cash dividend of 0.445 with an ex-date of Mar. 31 2025,2025-03-31,0.445
VIPS,Dividend,VIPS announced a cash dividend of 0.48 with an ex-date of Apr. 11 2025,2025-04-11,0.48
CHH,Dividend,CHH announced a cash dividend of 0.287 with an ex-date of Apr. 1 2025,2025-04-01,0.287
STWD,Dividend,STWD announced a cash dividend of 0.48 with an ex-date of Mar. 31 2025,2025-03-31,0.48
GNTX,Dividend,GNTX announced a cash dividend of 0.12 with an ex-date of Apr. 9 2025,2025-04-09,0.12
RHP,Dividend,RHP announced a cash dividend of 1.15 with an ex-date of Mar. 31 2025,2025-03-31,1.15
SPXSY,Dividend,SPXSY announced a cash dividend of 0.761 with an ex-date of Apr. 25 2025,2025-04-25,0.761
STAG,Dividend,STAG announced a cash dividend of 0.124 with an ex-date of Mar. 31 2025,2025-03-31,0.124
FMC,Dividend,FMC announced a cash dividend of 0.58 with an ex-date of Mar. 31 2025,2025-03-31,0.58
